Price,Close,High,Low,Open,Volume
Ticker,MNDI.L,MNDI.L,MNDI.L,MNDI.L,MNDI.L
Date,,,,,
2023-01-03,1558.7928466796875,1574.7382448008348,1552.194805610555,1554.9439995589046,1691502
2023-01-04,1591.7830810546875,1602.2300906687344,1564.2911431774992,1567.0403369652179,1237579
2023-01-05,1604.429443359375,1619.2750658361736,1581.3362392805186,1589.5838208825767,1033740
2023-01-06,1638.5194091796875,1647.31687829532,1617.0757460078094,1619.2750522694535,923781
2023-01-09,1644.017822265625,1655.564485403953,1627.5226589448876,1648.9664444825642,1113592
2023-01-10,1618.725341796875,1637.9696993618797,1604.4294845062016,1634.6706178226375,1208264
2023-01-11,1618.725341796875,1624.2237296725907,1600.580637400107,1615.9761478590171,921649
2023-01-12,1657.2139892578125,1659.9631830834123,1617.4606318954945,1622.0242350694175,814225
2023-01-13,1637.9696044921875,1656.1141858035062,1625.323288703598,1652.8152264898686,730237
2023-01-16,1655.564453125,1663.262147044115,1634.1206680054186,1641.2685963786123,780901
2023-01-17,1648.9664306640625,1661.6126248096941,1633.5676256878746,1650.61584935469,1150599
2023-01-18,1650.6158447265625,1657.763773159179,1640.7188444724318,1651.7156198966022,806960
2023-01-19,1629.7220458984375,1651.7155964343651,1616.0783417468383,1640.1689335891924,675100
2023-01-20,1631.3714599609375,1650.6158166256098,1620.9245722996402,1640.718816539971,818551
2023-01-23,1646.7669677734375,1651.715589844995,1626.9728455907853,1628.0724987062895,537125
2023-01-24,1663.26220703125,1667.1110541296198,1637.7167184900231,1649.5162373695493,653581
2023-01-25,1658.313720703125,1678.1078439616024,1644.017863321003,1661.6126802289382,903727
2023-01-26,1686.9052734375,1697.3521614066858,1659.4133345348741,1668.760569354861,1296549
2023-01-27,1685.2557373046875,1705.0499821825165,1677.008155611347,1698.4519412347504,1365527
2023-01-30,1694.05322265625,1699.0017229053692,1672.0596712654421,1676.45840595051,736890
2023-01-31,1674.808837890625,1684.156072672456,1650.0660929792625,1684.156072672456,2267686
2023-02-01,1700.101318359375,1729.7926849498338,1682.5065022508775,1682.5065022508775,1664806
2023-02-02,1742.4390869140625,1745.7380464526884,1706.6995653544816,1709.4487593206031,1396041
2023-02-03,1760.5836181640625,1760.5836181640625,1726.4936383843535,1739.6898422579545,757634
2023-02-06,1739.139892578125,1755.6350553053373,1730.3424236431351,1744.0883925824785,4398214
