Price,Close,High,Low,Open,Volume
Ticker,CUT,CUT,CUT,CUT,CUT
Date,,,,,
2023-01-03,28.682079315185547,28.757807507090558,28.540089181051464,28.719944313889307,1400
2023-01-04,29.164846420288086,29.193245168541445,29.04178878886179,29.04178878886179,5900
2023-01-05,28.95659637451172,29.09858651470282,28.85246942913703,29.09858651470282,8200
2023-01-06,29.78960418701172,29.865332376213907,29.477225180864878,29.505623928879118,2000
2023-01-09,29.836936950683594,30.225044165764928,29.836936950683594,29.922131393555354,9600
2023-01-10,29.78013801574707,29.78013801574707,29.505624006232868,29.600284694359384,1800
2023-01-11,29.874799728393555,29.874799728393555,29.666547651775428,29.751742093460688,4300
2023-01-12,30.310237884521484,30.35756732698507,30.045188312418905,30.05465456201212,3200
2023-01-13,30.243976593017578,30.26290728710846,29.9789270152173,29.9789270152173,3500
2023-01-17,30.101985931396484,30.149317182392387,30.016791485106474,30.130384681994027,6600
2023-01-18,29.827470779418945,30.452227019619666,29.799072029886055,30.13038355242628,7300
2023-01-19,29.609752655029297,29.761209042584223,29.401498768014353,29.761209042584223,2500
2023-01-20,30.08305549621582,30.101986191275003,29.69494826221184,29.69494826221184,3000
2023-01-23,30.291305541992188,30.367035539129574,30.054654717445374,30.054654717445374,3500
2023-01-24,30.16824722290039,30.253439856741267,30.073586534129742,30.073586534129742,2600
2023-01-25,30.08305549621582,30.14931744267953,29.75174395839465,29.87480160104116,4300
2023-01-26,30.594219207763672,30.613151707604487,30.092520600499995,30.092520600499995,4500
2023-01-27,30.480627059936523,30.480627059936523,30.338635120172388,30.338635120172388,3000
2023-01-30,30.130382537841797,30.480626548276806,30.11145003879072,30.357567109947283,4500
2023-01-31,30.802473068237305,30.802473068237305,30.13985001840514,30.13985001840514,3800
2023-02-01,31.086450576782227,31.09591502034948,30.37649814608014,30.85926421011545,9900
2023-02-02,31.275774002075195,31.40829788675267,31.133782062203597,31.171647060970027,11100
2023-02-03,30.953929901123047,31.190580735824284,30.811937955900234,31.086453790794913,3900
2023-02-06,30.480627059936523,30.783539827828648,30.367035674728232,30.783539827828648,4700
2023-02-07,30.49955940246582,30.49955940246582,30.139849138316794,30.414364961246445,4000
2023-02-08,30.007326126098633,30.291306401410836,29.903199182582963,30.291306401410836,2400
2023-02-09,29.723342895507812,30.19664453972132,29.600285262433395,30.19664453972132,4100
2023-02-10,29.515090942382812,29.515090942382812,29.250041370561608,29.4014977528873,5100
2023-02-13,29.865333557128906,29.922131055403234,29.58135328776735,29.647615230251546,7200
2023-02-14,29.95999526977539,29.95999526977539,29.6665487407009,29.950529019740397,10300
2023-02-15,29.818004608154297,29.818004608154297,29.62868322177452,29.62868322177452,3300
